timestamp,label,count,avg,min,max,p25,p50,p75,p90,p99
2025-06-17 16:39:21,ALL PUT,0,,,,,,,,
2025-06-17 16:39:21,ALL GET,0,,,,,,,,
2025-06-17 17:09:21,ALL PUT,12511,0.020205,0.014084,0.562109,0.017331,0.018191,0.019952,0.026655,0.040383
2025-06-17 17:09:21,PutType.MOST_RECENT,11980,0.019840,0.014084,0.562109,0.017296,0.018119,0.019266,0.025825,0.039470
2025-06-17 17:09:21,PutType.PAST,531,0.028449,0.019276,0.074820,0.024557,0.025690,0.029584,0.037920,0.053358
2025-06-17 17:09:21,ALL GET,5484,0.008066,0.006204,0.104505,0.007093,0.007417,0.007709,0.010108,0.019696
2025-06-17 17:09:21,GetType.CURRENT,5438,0.008058,0.006204,0.104505,0.007093,0.007416,0.007706,0.010057,0.019744
2025-06-17 17:09:21,GetType.TIMESTAMP,31,0.009437,0.006759,0.019040,0.007287,0.007740,0.011541,0.012064,0.018429
2025-06-17 17:09:21,GetType.NO_USER_AT_TIME,15,0.008092,0.006386,0.012379,0.006663,0.007293,0.009064,0.011092,0.012200
2025-06-17 17:39:21,ALL PUT,25092,0.020252,0.014084,0.562109,0.017746,0.018292,0.019374,0.026385,0.040537
2025-06-17 17:39:21,PutType.MOST_RECENT,24060,0.019910,0.014084,0.562109,0.017716,0.018248,0.019019,0.025413,0.040140
2025-06-17 17:39:21,PutType.PAST,1032,0.028212,0.019276,0.074820,0.025027,0.025874,0.028249,0.036167,0.050898
2025-06-17 17:39:21,ALL GET,10902,0.008030,0.006204,0.104505,0.007262,0.007456,0.007668,0.009937,0.018475
2025-06-17 17:39:21,GetType.CURRENT,10807,0.008022,0.006204,0.104505,0.007262,0.007456,0.007667,0.009912,0.018409
2025-06-17 17:39:21,GetType.TIMESTAMP,71,0.008994,0.006759,0.023785,0.007416,0.007645,0.010416,0.011989,0.020463
2025-06-17 17:39:21,GetType.NO_USER_AT_TIME,24,0.008603,0.006386,0.015228,0.006861,0.007310,0.010683,0.012162,0.014851
2025-06-17 18:09:21,ALL PUT,37628,0.020220,0.014084,0.562109,0.017877,0.018372,0.019323,0.026066,0.040193
2025-06-17 18:09:21,PutType.MOST_RECENT,36055,0.019874,0.014084,0.562109,0.017851,0.018326,0.019030,0.025055,0.039782
2025-06-17 18:09:21,PutType.PAST,1573,0.028160,0.019276,0.074820,0.025110,0.025883,0.028435,0.035714,0.050893
2025-06-17 18:09:21,ALL GET,16360,0.008015,0.006204,0.104505,0.007324,0.007489,0.007689,0.009964,0.017062
2025-06-17 18:09:21,GetType.CURRENT,16212,0.008009,0.006204,0.104505,0.007324,0.007488,0.007687,0.009945,0.017055
2025-06-17 18:09:21,GetType.TIMESTAMP,114,0.008785,0.006759,0.023785,0.007446,0.007647,0.009508,0.011934,0.018775
2025-06-17 18:09:21,GetType.NO_USER_AT_TIME,34,0.008547,0.006386,0.015581,0.007152,0.007337,0.009519,0.012162,0.015465
2025-06-17 18:39:22,ALL PUT,50185,0.020674,0.014084,3.371357,0.018004,0.018529,0.019923,0.026540,0.041073
2025-06-17 18:39:22,PutType.MOST_RECENT,48029,0.020237,0.014084,0.562109,0.017980,0.018486,0.019293,0.025742,0.040364
2025-06-17 18:39:22,PutType.PAST,2156,0.030404,0.019276,3.371357,0.025263,0.026103,0.029361,0.036977,0.054330
2025-06-17 18:39:22,ALL GET,21752,0.008213,0.006204,0.104505,0.007378,0.007554,0.007784,0.010321,0.018077
2025-06-17 18:39:22,GetType.CURRENT,21563,0.008207,0.006204,0.104505,0.007378,0.007554,0.007781,0.010303,0.018037
2025-06-17 18:39:22,GetType.TIMESTAMP,142,0.008850,0.006759,0.023785,0.007487,0.007739,0.008835,0.011939,0.018924
2025-06-17 18:39:22,GetType.NO_USER_AT_TIME,47,0.008959,0.006386,0.028351,0.007203,0.007390,0.010216,0.012276,0.022477
