timestamp,metric,value
2025-06-16 17:29:02,total_size,40414414
2025-06-16 17:29:02,wal_size,16789504
2025-06-16 17:29:02,base_size,22892721
2025-06-16 17:59:02,total_size,42473298
2025-06-16 17:59:02,wal_size,16789504
2025-06-16 17:59:02,base_size,24951605
2025-06-16 18:29:03,total_size,43915090
2025-06-16 18:29:03,wal_size,16789504
2025-06-16 18:29:03,base_size,26393397
2025-06-16 18:59:04,total_size,62314322
2025-06-16 18:59:04,wal_size,33566720
2025-06-16 18:59:04,base_size,28015413
2025-06-16 19:29:05,total_size,63960914
2025-06-16 19:29:05,wal_size,33566720
2025-06-16 19:29:05,base_size,29662005
