timestamp,metric,value
2025-06-16 21:46:24,total_size,16384
2025-06-16 21:46:24,log_size,4096
2025-06-16 21:46:24,buffers_size,8192
2025-06-16 22:16:25,total_size,7073550
2025-06-16 22:16:25,log_size,7071895
2025-06-16 22:16:25,buffers_size,8192
2025-06-16 22:46:26,total_size,13605512
2025-06-16 22:46:26,log_size,13600361
2025-06-16 22:46:26,buffers_size,8192
2025-06-16 23:16:27,total_size,20071706
2025-06-16 23:16:27,log_size,20059418
2025-06-16 23:16:27,buffers_size,8192
2025-06-16 23:46:28,total_size,26995729
2025-06-16 23:46:28,log_size,26983441
2025-06-16 23:46:28,buffers_size,8192
