timestamp,metric,value
2025-06-16 23:47:26,total_size,16384
2025-06-16 23:47:26,log_size,4096
2025-06-16 23:47:26,buffers_size,8192
2025-06-17 00:17:27,total_size,68742300
2025-06-17 00:17:27,log_size,68730012
2025-06-17 00:17:27,buffers_size,8192
2025-06-17 00:47:28,total_size,132842167
2025-06-17 00:47:28,log_size,132829879
2025-06-17 00:47:28,buffers_size,8192
2025-06-17 01:17:29,total_size,196016330
2025-06-17 01:17:29,log_size,196004042
2025-06-17 01:17:29,buffers_size,8192
2025-06-17 01:47:30,total_size,691447607
2025-06-17 01:47:30,log_size,264743272
2025-06-17 01:47:30,buffers_size,426700239
