timestamp,metric,value
2025-06-18 21:23:33,total_size,477148
2025-06-18 21:23:33,base_size,473052
2025-06-18 21:23:33,larch_size,27784
2025-06-18 21:53:34,total_size,13973351
2025-06-18 21:53:34,base_size,13969255
2025-06-18 21:53:34,larch_size,126748
2025-06-18 22:23:35,total_size,21702882
2025-06-18 22:23:35,base_size,21698786
2025-06-18 22:23:35,larch_size,204804
2025-06-18 22:53:37,total_size,25531157
2025-06-18 22:53:37,base_size,25528085
2025-06-18 22:53:37,larch_size,254100
2025-06-18 23:23:38,total_size,27628322
2025-06-18 23:23:38,base_size,27624226
2025-06-18 23:23:38,larch_size,284260
