timestamp,metric,value
2025-06-19 19:04:14,total_size,476227
2025-06-19 19:04:14,base_size,472131
2025-06-19 19:04:14,larch_size,27768
2025-06-19 19:05:15,total_size,1076865
2025-06-19 19:05:15,base_size,1072769
2025-06-19 19:05:15,larch_size,31688
2025-06-19 19:06:16,total_size,1740366
2025-06-19 19:06:16,base_size,1736270
2025-06-19 19:06:16,larch_size,35864
2025-06-19 19:07:17,total_size,2278195
2025-06-19 19:07:17,base_size,2274099
2025-06-19 19:07:17,larch_size,39344
2025-06-19 19:08:18,total_size,2796095
2025-06-19 19:08:18,base_size,2791999
2025-06-19 19:08:18,larch_size,42752
2025-06-19 19:09:19,total_size,3305894
2025-06-19 19:09:19,base_size,3301798
2025-06-19 19:09:19,larch_size,46208
