timestamp,metric,value
2025-06-14 15:16:27,total_size,40520910
2025-06-14 15:16:27,wal_size,16789504
2025-06-14 15:16:27,base_size,22999217
2025-06-14 15:46:27,total_size,73316178
2025-06-14 15:46:27,wal_size,33566720
2025-06-14 15:46:27,base_size,39025461
2025-06-14 16:16:28,total_size,88790866
2025-06-14 16:16:28,wal_size,33566720
2025-06-14 16:16:28,base_size,54491957
2025-06-14 16:46:29,total_size,104781650
2025-06-14 16:46:29,wal_size,33566720
2025-06-14 16:46:29,base_size,70490933
2025-06-14 17:16:30,total_size,115529554
2025-06-14 17:16:30,wal_size,33566720
2025-06-14 17:16:30,base_size,81238837
2025-06-14 17:46:30,total_size,125286226
2025-06-14 17:46:30,wal_size,33566720
2025-06-14 17:46:30,base_size,90987317
2025-06-14 18:16:31,total_size,131569490
2025-06-14 18:16:31,wal_size,33566720
2025-06-14 18:16:31,base_size,97270581
2025-06-14 18:46:32,total_size,142825298
2025-06-14 18:46:32,wal_size,33566720
2025-06-14 18:46:32,base_size,108534581
2025-06-14 19:16:33,total_size,158930770
2025-06-14 19:16:33,wal_size,33566720
2025-06-14 19:16:33,base_size,124631861
2025-06-14 19:46:34,total_size,174593874
2025-06-14 19:46:34,wal_size,33566720
2025-06-14 19:46:34,base_size,140303157
2025-06-14 20:16:34,total_size,190216018
2025-06-14 20:16:34,wal_size,33566720
2025-06-14 20:16:34,base_size,155917109
2025-06-14 20:46:35,total_size,205764434
2025-06-14 20:46:35,wal_size,33566720
2025-06-14 20:46:35,base_size,171473717
2025-06-14 21:16:36,total_size,222418770
2025-06-14 21:16:36,wal_size,33566720
2025-06-14 21:16:36,base_size,188119861
