timestamp,metric,value
2025-06-17 03:49:33,total_size,16384
2025-06-17 03:49:33,log_size,4096
2025-06-17 03:49:33,buffers_size,8192
2025-06-17 04:19:34,total_size,73920084
2025-06-17 04:19:34,log_size,73907796
2025-06-17 04:19:34,buffers_size,8192
2025-06-17 04:49:35,total_size,140001725
2025-06-17 04:49:35,log_size,139989437
2025-06-17 04:49:35,buffers_size,8192
2025-06-17 05:19:36,total_size,209876399
2025-06-17 05:19:36,log_size,209868152
2025-06-17 05:19:36,buffers_size,8192
2025-06-17 05:49:37,total_size,281594986
2025-06-17 05:49:37,log_size,281582698
2025-06-17 05:49:37,buffers_size,8192
